task,algorithm,iteration,depth,time,clusters
wp02,x,1,0,146.9872,299
wp03,vertex_count,1,0,142.6872,299
wp03,edge_count,1,0,136.4192,299
wp03,vertex_degrees,1,0,135.1695,299
wp03,algebraic_connectivity,1,0,9202.9364,2518
wp03,rank,1,0,191.5653,299
wp04a,x,1,0,200.6175,299
wp04a,x,2,0,324.66,299
wp04a,x,3,0,461.4985,299
wp04b,x,1,0,66.3372,299
wp04b,x,1,1,67.4701,299
wp04b,x,1,2,84.0555,299
wp04b,x,2,0,93.473,299
wp04b,x,2,1,103.3092,299
wp04b,x,2,2,103.9773,299
wp04b,x,3,0,122.1111,299
wp04b,x,3,1,120.3051,299
wp04b,x,3,2,138.8815,299
